
56) Smooth : -0.27763
57) Smooth : 1.84847
58) Smooth : 3.93364
59) Smooth : 5.82199
60) Smooth : 7.61726
61) Smooth : 10.47208
62) Smooth : 12.83606
63) Smooth : 15.42227
64) Smooth : 17.85072
65) Smooth : 19.46857
66) Smooth : 22.24684
67) Smooth : 24.67787
68) Smooth : 26.87918
69) Smooth : 28.88272
70) Smooth : 31.04422
71) Smooth : 32.67734
72) Smooth : 34.87348
73) Smooth : 36.65752
74) Smooth : 39.05421
75) Smooth : 41.53333
76) Smooth : 42.73614
77) Smooth : 44.54283
78) Smooth : 46.53957
79) Smooth : 49.41135
80) Smooth : 51.39073
81) Smooth : 53.18395
82) Smooth : 55.20973
83) Smooth : 57.27575
84) Smooth : 59.16898
85) Smooth : 61.35056
86) Smooth : 63.47596
87) Smooth : 65.69949
88) Smooth : 68.59080
89) Smooth : 69.82241
90) Smooth : 71.88084
91) Smooth : 74.30490
92) Smooth : 76.18982
93) Smooth : 77.76211
94) Smooth : 79.50428
95) Smooth : 81.65646
96) Smooth : 84.26670
97) Smooth : 85.67571
98) Smooth : 86.76253
99) Smooth : 88.78069
100) Smooth : 90.37419
101) Smooth : 91.55832
102) Smooth : 93.43645
103) Smooth : 95.12262
104) Smooth : 96.88270
105) Smooth : 97.63714
106) Smooth : 99.02584
107) Smooth : 100.91535
108) Smooth : 102.76724
109) Smooth : 103.92805
110) Smooth : 105.72128
111) Smooth : 107.29869
112) Smooth : 107.87004
113) Smooth : 109.29440
114) Smooth : 110.54587
115) Smooth : 112.45020
116) Smooth : 113.40216
117) Smooth : 114.83928
118) Smooth : 116.27216
119) Smooth : 117.67503
120) Smooth : 118.37502
121) Smooth : 119.62026
122) Smooth : 121.60095
123) Smooth : 122.76630
124) Smooth : 123.52453
125) Smooth : 123.67095
126) Smooth : 124.01979
127) Smooth : 124.66340
128) Smooth : 124.91589
